date,portfolio_value,cash,open_positions_val,open_count,nifty_value,peak,drawdown,nifty_peak,nifty_drawdown
2025-05-06,1091624.9581388398,904257.0687345428,187367.88940429688,1,1253836.6390338922,1166088.1638691898,-6.385726914787823,1348284.8581181858,-7.005064138754467
2025-05-07,1089750.232797043,904257.0687345428,185493.1640625,1,1255626.4344077865,1166088.1638691898,-6.546497377938428,1348284.8581181858,-6.87231805300577
2025-05-08,1091814.8079923554,904257.0687345428,187557.7392578125,1,1248395.4320741617,1166088.1638691898,-6.369445997152429,1348284.8581181858,-7.4086292256846
2025-05-09,1090474.0334562226,904257.0687345428,186216.9647216797,1,1234725.3651512032,1166088.1638691898,-6.48442654302162,1348284.8581181858,-8.422514892400306
2025-05-12,1102446.308236496,904257.0687345428,198189.23950195312,1,1281870.9740151204,1166088.1638691898,-5.457722460840706,1348284.8581181858,-4.925805085118278
2025-05-13,1099962.0888761445,537097.2338956756,562864.8549804688,2,1264058.3012433143,1166088.1638691898,-5.670761186155324,1348284.8581181858,-6.246940797987401
2025-05-14,1106071.2092374726,537097.2338956756,568973.9753417969,2,1268612.445516612,1166088.1638691898,-5.146862517888468,1348284.8581181858,-5.909167645238813
2025-05-15,1117994.4235929414,537097.2338956756,580897.1896972656,2,1288937.441337945,1166088.1638691898,-4.124365701189256,1348284.8581181858,-4.40169719498835
2025-05-16,1106313.7204679414,179826.84717692563,926486.8732910156,3,1286762.0233105328,1166088.1638691898,-5.126065528605593,1348284.8581181858,-4.5630442585790805
2025-05-19,1100741.6212858125,179826.84717692563,920914.7741088867,3,1282938.1412646575,1166088.1638691898,-5.60391097415408,1348284.8581181858,-4.846655101113672
2025-05-20,1098623.475045578,179826.84717692563,918796.6278686523,3,1269486.7512150279,1166088.1638691898,-5.785556436809851,1348284.8581181858,-5.844321875210938
2025-05-21,1098031.7659391328,525917.6876920623,572114.0782470703,2,1276149.4146651924,1166088.1638691898,-5.836299521662197,1348284.8581181858,-5.350163433094809
2025-05-22,1095009.5670865937,525917.6876920623,569091.8793945312,2,1265670.6037209423,1166088.1638691898,-6.095473651559128,1348284.8581181858,-6.127359059164174
2025-05-23,1099239.168404953,525917.6876920623,573321.4807128906,2,1278191.235888963,1166088.1638691898,-5.732756538958896,1348284.8581181858,-5.198725017727561
