ticker,symbol,company_name,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,pnl,pnl_pct,holding_days,year
TITAN.NS,TITAN,Titan Company Ltd.,2025-04-08,3102.750732421875,116,2025-04-17,3288.9157763671874,Target Hit (1:2 RR),21595.145097656237,5.9999999999999964,9,2025
ADANIENT.NS,ADANIENT,Adani Enterprises Ltd.,2025-05-05,2453.186279296875,123,2025-05-06,2363.688342285156,Stop Loss Hit,-11008.24625244143,-3.6482324137802764,1,2025
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2025-05-15,1029.59765625,347,2025-05-21,997.3799438476562,Stop Loss Hit,-11179.546203613281,-3.1291555693402686,6,2025
HCLTECH.NS,HCLTECH,HCL Technologies Ltd.,2025-04-23,1495.8297119140625,125,2025-06-02,1544.5788880409882,Stop Loss Hit,6093.647015865713,3.259005736993036,40,2025
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Ltd.,2025-05-12,1180.5782470703125,311,2025-06-05,1251.4129418945313,Target Hit (1:2 RR),22029.590090332043,6.0000000000000036,24,2025
ETERNAL.NS,ETERNAL,Eternal Ltd.,2025-05-30,238.30999755859375,1544,2025-06-05,252.60859741210936,Target Hit (1:2 RR),22077.038173828103,5.999999999999995,6,2025
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2025-06-09,2014.698486328125,189,2025-06-11,2002.1724019599715,Stop Loss Hit,-2367.429945581018,-0.6217349371708153,2,2025
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2025-06-06,677.1956787109375,356,2025-06-13,653.8492975505203,Stop Loss Hit,-8311.31169310852,-3.4475088802778155,7,2025
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Ltd.,2025-06-06,931.4243774414062,404,2025-06-13,915.3823428610577,Stop Loss Hit,-6480.9819704608,-1.7223120812465187,7,2025
GRASIM.NS,GRASIM,Grasim Industries Ltd.,2025-06-10,2689.80517578125,6,2025-06-13,2622.8449567110565,Stop Loss Hit,-401.76131442116093,-2.4894077709827065,3,2025
TECHM.NS,TECHM,Tech Mahindra Ltd.,2025-06-10,1525.9468994140625,1,2025-06-17,1617.5037133789065,Target Hit (1:2 RR),91.55681396484397,6.000000000000014,7,2025
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2025-06-20,997.1221313476562,371,2025-07-03,1056.9494592285157,Target Hit (1:2 RR),22195.938643798858,6.000000000000008,13,2025
